date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:03	223314/223314	---M-Z	200	added ('OK')	text/html	etag:%221603117209-1%22	http://kgd.gov.kz/ru	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/ru.html	(from )
20:28:03	1074/1074	---M-Z	200	added ('OK')	text/plain	etag:W/%225f3e859a-a8d%22	http://kgd.gov.kz/robots.txt		(from )
20:28:04	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:28:04%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/images/logo_social.jpg	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/images/logo_social.jpg	(from http://kgd.gov.kz/ru)
20:28:04	5428/5428	---M-Z	200	added ('OK')	text/css	etag:W/%225ae04b2c-1534%22	http://kgd.gov.kz/modules/system/system.base.css?qi91hl	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/modules/system/system.base73e1.css	(from http://kgd.gov.kz/ru)
20:28:04	2035/2035	---M-Z	200	added ('OK')	text/css	etag:W/%225ae04b2c-7f3%22	http://kgd.gov.kz/modules/system/system.menus.css?qi91hl	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/modules/system/system.menus73e1.css	(from http://kgd.gov.kz/ru)
20:28:04	57502/57502	---M-Z	200	added ('OK')	application/rss+xml	etag:%221603117228-1%22	http://kgd.gov.kz/ru/rss.xml	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/ru/rss.xml	(from http://kgd.gov.kz/ru)
20:28:05	961/961	---M--	200	added ('OK')	text/css	etag:%225ae04b2c-3c1%22	http://kgd.gov.kz/modules/system/system.messages.css?qi91hl	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/modules/system/system.messages73e1.css	(from http://kgd.gov.kz/ru)
20:28:05	3711/3711	---M-Z	200	added ('OK')	text/css	etag:W/%225ae04b2c-e7f%22	http://kgd.gov.kz/modules/system/system.theme.css?qi91hl	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/modules/system/system.theme73e1.css	(from http://kgd.gov.kz/ru)
20:28:05	122/122	---M--	200	added ('OK')	text/css	etag:%225d552549-7a%22	http://kgd.gov.kz/sites/all/modules/colorbox_node/colorbox_node.css?qi91hl	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/modules/colorbox_node/colorbox_node73e1.css	(from http://kgd.gov.kz/ru)
20:28:05	184/184	---M--	200	added ('OK')	text/css	etag:%225ae04b2c-b8%22	http://kgd.gov.kz/modules/comment/comment.css?qi91hl	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/modules/comment/comment73e1.css	(from http://kgd.gov.kz/ru)
